"","Year","Site","Sub_site","Transect","Lat","Density","Sum_abundance","count"
"1",2022,"Bahia_Tortugas_Clambei","Norte",1,27.6,0,0,12
"2",2022,"Bahia_Tortugas_Clambei","Norte",2,27.6,0,0,12
"3",2022,"Bahia_Tortugas_Clambei","Norte",3,27.6,0,0,12
"4",2022,"Bahia_Tortugas_Clambei","Sur",1,27.6,0,0,12
"5",2022,"Bahia_Tortugas_Clambei","Sur",2,27.6,0.0166666666666667,1,12
"6",2022,"Bahia_Tortugas_Clambei","Sur",3,27.6,0.133333333333333,8,12
"7",2022,"Bahia_Tortugas_Rompiente","Norte",2,27.7,0,0,6
"8",2022,"Bahia_Tortugas_Rompiente","Norte",1,27.7,0,0,6
"9",2022,"Bahia_Tortugas_Rompiente","Norte",3,27.7,0,0,6
"10",2022,"Bahia_Tortugas_Rompiente","Sur",1,27.7,0,0,6
"11",2022,"Bahia_Tortugas_Rompiente","Sur",2,27.7,0.0333333333333333,2,6
"12",2022,"Bahia_Tortugas_Rompiente","Sur",3,27.7,0.0166666666666667,1,6
"13",2022,"Bahia_Tortugas_Sargazera","Norte",1,27.7,0.0666666666666667,4,6
"14",2022,"Bahia_Tortugas_Sargazera","Norte",2,27.7,0.0333333333333333,2,6
"15",2022,"Bahia_Tortugas_Sargazera","Norte",3,27.7,0,0,6
"16",2022,"Bahia_Tortugas_Sargazera","Sur",1,27.7,0.65,39,6
"17",2022,"Bahia_Tortugas_Sargazera","Sur",2,27.7,1,60,6
"18",2022,"Bahia_Tortugas_Sargazera","Sur",3,27.7,1.7,102,6
"19",2022,"Baja_Mar","Norte",1,32,0,0,12
"20",2022,"Baja_Mar","Norte",2,32,0,0,12
"21",2022,"Baja_Mar","Norte",3,32,0,0,12
"22",2022,"Baja_Mar","Sur",1,32,0,0,12
"23",2022,"Baja_Mar","Sur",2,32,0,0,12
"24",2022,"Baja_Mar","Sur",3,32,0,0,12
"25",2022,"Bajo_Coronado","Norte",3,32.4,0,0,12
"26",2022,"Bajo_Coronado","Norte",1,32.4,0,0,12
"27",2022,"Bajo_Coronado","Norte",2,32.4,0,0,12
"28",2022,"Bajo_Coronado","Sur",1,32.4,0,0,12
"29",2022,"Bajo_Coronado","Sur",2,32.4,0,0,12
"30",2022,"Bajo_Coronado","Sur",3,32.4,0,0,12
"31",2022,"Campo_Lopez","Norte",1,32.2,0,0,12
"32",2022,"Campo_Lopez","Norte",2,32.2,0,0,12
"33",2022,"Campo_Lopez","Norte",3,32.2,0,0,12
"34",2022,"Campo_Lopez","Sur",1,32.2,0,0,12
"35",2022,"Campo_Lopez","Sur",2,32.2,0,0,12
"36",2022,"Campo_Lopez","Sur",3,32.2,0,0,12
"37",2022,"El_Retiro","Norte",1,31.6,0,0,12
"38",2022,"El_Retiro","Norte",2,31.6,0,0,12
"39",2022,"El_Retiro","Norte",3,31.6,0,0,12
"40",2022,"El_Retiro","Sur",1,31.6,0,0,12
"41",2022,"El_Retiro","Sur",3,31.6,0,0,12
"42",2022,"El_Retiro","Sur",2,31.6,0,0,12
"43",2022,"El_Rosario_Lazaro","Norte",1,29.9,0,0,12
"44",2022,"El_Rosario_Lazaro","Norte",2,29.9,0,0,12
"45",2022,"El_Rosario_Lazaro","Norte",3,29.9,0,0,12
"46",2022,"El_Rosario_Lazaro","Sur",1,29.9,0.0333333333333333,2,12
"47",2022,"El_Rosario_Lazaro","Sur",2,29.9,0,0,12
"48",2022,"El_Rosario_Lazaro","Sur",3,29.9,0,0,12
"49",2022,"El_Rosario_Picacho","Norte",1,29.9,0,0,12
"50",2022,"El_Rosario_Picacho","Norte",2,29.9,0,0,12
"51",2022,"El_Rosario_Picacho","Norte",3,29.9,0,0,12
"52",2022,"El_Rosario_Picacho","Sur",1,29.9,0.683333333333333,41,12
"53",2022,"El_Rosario_Picacho","Sur",2,29.9,0.566666666666667,34,12
"54",2022,"El_Rosario_Picacho","Sur",3,29.9,0.433333333333333,26,12
"55",2022,"Emancipacion_El_Cardon","Norte",1,27.5,1.26666666666667,76,12
"56",2022,"Emancipacion_El_Cardon","Norte",2,27.5,0.633333333333333,38,12
"57",2022,"Emancipacion_El_Cardon","Norte",3,27.5,1,60,12
"58",2022,"Emancipacion_El_Cardon","Sur",1,27.5,0.7,42,12
"59",2022,"Emancipacion_El_Cardon","Sur",2,27.5,0.55,33,12
"60",2022,"Emancipacion_El_Cardon","Sur",3,27.5,0.7,42,12
"61",2022,"Emancipacion_Puerto_Escondido","Norte",2,27.5,0,0,6
